datasetid,recordid,record_timestamp,fields.wgs_84,fields.tvs,fields.gare_alias_libelle_noncontraint,fields.commune_libellemin,fields.tvss,fields.gare_alias_libelle_fronton,fields.commune_code,fields.uic_code,fields.rg_libelle,fields.gare,fields.adresse_cp,fields.code_gare,fields.latitude_entreeprincipale_wgs84,fields.gare_agencegc_libelle,fields.departement_libellemin,fields.code,fields.gare_drg_on,fields.gare_etrangere_on,fields.segmentdrg_libelle,fields.gare_ug_libelle,fields.gare_regionsncf_libelle,fields.longitude_entreeprincipale_wgs84,fields.gare_ut_libelle,fields.gare_nbpltf,fields.alias_libelle_noncontraint,fields.departement_numero,geometry.type,geometry.coordinates,fields.niveauservice_libelle,fields.dtfinval
referentiel-gares-voyageurs,09683ddc1e122f1a634242fb06b3dbff44f0fa24,2023-04-06T22:00:17.211Z,"[48.841172, 2.320514]",PVA,Paris Montparnasse,Paris,"[{""TVS_Code"": ""PVA""}]",Paris Montparnasse,056,0087391102,GARE PARIS MONTPARNASSE,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 2, ""Alias_Libelle_NonContraint"": ""Paris Montparnasse"", ""Alias_Libelle_Fronton"": ""Paris Montparnasse"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS RIVE GAUCHE"", ""UG_Libelle"": ""UG Montparnasse"", ""UT_Libelle"": ""PARIS MONTPARNASSE PORTE OCEANE P GARE""}",75015,01999,48.841172,ETAB GARES PARIS,Paris,01999-2,True,False,a,UG Montparnasse,REGION DE PARIS RIVE GAUCHE,2.320514,PARIS MONTPARNASSE PORTE OCEANE P GARE,2,Paris Montparnasse Vaugirard,75,Point,"[2.320514, 48.841172]",,
referentiel-gares-voyageurs,0f2deabb00a1296a237c77054ad94e685918051d,2023-04-06T22:00:17.211Z,"[48.841172, 2.320514]",PMP,Paris Montparnasse,Paris,"[{""TVS_Code"": ""PMP""}, {""TVS_Code"": ""PMP_TRANS""}]",Paris Montparnasse,056,0087391003,GARE PARIS MONTPARNASSE,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 2, ""Alias_Libelle_NonContraint"": ""Paris Montparnasse"", ""Alias_Libelle_Fronton"": ""Paris Montparnasse"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS RIVE GAUCHE"", ""UG_Libelle"": ""UG Montparnasse"", ""UT_Libelle"": ""PARIS MONTPARNASSE PORTE OCEANE P GARE""}",75015,01999,48.841172,ETAB GARES PARIS,Paris,01999-1,True,False,a,UG Montparnasse,REGION DE PARIS RIVE GAUCHE,2.320514,PARIS MONTPARNASSE PORTE OCEANE P GARE,2,Paris Montparnasse Hall 1 & 2,75,Point,"[2.320514, 48.841172]",3.0,
referentiel-gares-voyageurs,c375405eed0836fc9c893e71caccdb8e55f56e4b,2023-04-06T22:00:17.211Z,"[48.842285, 2.364891]",PAZ_TRANS,Paris Austerlitz,Paris,"[{""TVS_Code"": ""PAZ_TRANS""}]",Paris Austerlitz,056,0087547026,GARE PARIS AUSTERLITZ SOUTERR,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 2, ""Alias_Libelle_NonContraint"": ""Paris Austerlitz"", ""Alias_Libelle_Fronton"": ""Paris Austerlitz"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS RIVE GAUCHE"", ""UG_Libelle"": ""UG Paris Austerlitz"", ""UT_Libelle"": ""PARIS AUSTERLITZ GARE""}",75013,01436,48.842285,ETAB GARES PARIS,Paris,01436-2,True,False,b,UG Paris Austerlitz,REGION DE PARIS RIVE GAUCHE,2.364891,PARIS AUSTERLITZ GARE,2,Paris Austerlitz RER,75,Point,"[2.364891, 48.842285]",2.0,
referentiel-gares-voyageurs,3717605b3a2791225d499e4cf8f5cdfe02e43c10,2023-04-06T22:00:17.211Z,"[48.842285, 2.364891]",PAZ,Paris Austerlitz,Paris,"[{""TVS_Code"": ""PAZ""}]",Paris Austerlitz,056,0087547000,GARE PARIS AUSTERLITZ,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 2, ""Alias_Libelle_NonContraint"": ""Paris Austerlitz"", ""Alias_Libelle_Fronton"": ""Paris Austerlitz"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS RIVE GAUCHE"", ""UG_Libelle"": ""UG Paris Austerlitz"", ""UT_Libelle"": ""PARIS AUSTERLITZ GARE""}",75013,01436,48.842285,ETAB GARES PARIS,Paris,01436-1,True,False,a,UG Paris Austerlitz,REGION DE PARIS RIVE GAUCHE,2.364891,PARIS AUSTERLITZ GARE,2,Paris Austerlitz,75,Point,"[2.364891, 48.842285]",3.0,
referentiel-gares-voyageurs,3abd7a5a066aba1e763f05c5adf2e06db11b4cce,2023-04-06T22:00:17.211Z,"[48.880185, 2.355151]",PNO,Paris Gare du Nord,Paris,"[{""TVS_Code"": ""PNO""}]",Paris Gare du Nord,056,0087271007,GARE PARIS NORD,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 4, ""Alias_Libelle_NonContraint"": ""Paris Gare du Nord"", ""Alias_Libelle_Fronton"": ""Paris Gare du Nord"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Paris Gare du Nord et CDG2"", ""UT_Libelle"": ""PARIS NORD GARE""}",75010,02561,48.880185,ETAB GARES PARIS,Paris,02561-1,True,False,a,UG Paris Gare du Nord et CDG2,REGION DE PARIS-NORD,2.355151,PARIS NORD GARE,4,Paris Gare du Nord,75,Point,"[2.355151, 48.880185]",3.0,
referentiel-gares-voyageurs,96b3494f3bd7dafefdb15572e4b338c9ac0a114b,2023-04-06T22:00:17.211Z,"[48.880185, 2.355151]",PNO_TRANS,Paris Gare du Nord,Paris,"[{""TVS_Code"": ""PNO_TRANS""}]",Paris Gare du Nord,056,0087271031,GARE PARIS NORD,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 4, ""Alias_Libelle_NonContraint"": ""Paris Gare du Nord"", ""Alias_Libelle_Fronton"": ""Paris Gare du Nord"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Paris Gare du Nord et CDG2"", ""UT_Libelle"": ""PARIS NORD GARE""}",75010,02561,48.880185,ETAB GARES PARIS,Paris,02561-2,True,False,a,UG Paris Gare du Nord et CDG2,REGION DE PARIS-NORD,2.355151,PARIS NORD GARE,4,Paris Gare du Nord Surface Banlieue,75,Point,"[2.355151, 48.880185]",2.0,
referentiel-gares-voyageurs,938ecd349ccc2d5fa6079922c3998b912a2a9957,2023-04-06T22:00:17.211Z,"[48.880185, 2.355151]",GDS,Paris Gare du Nord,Paris,"[{""TVS_Code"": ""GDS""}]",Paris Gare du Nord,056,0087271023,GARE PARIS NORD SOUTERR,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 4, ""Alias_Libelle_NonContraint"": ""Paris Gare du Nord"", ""Alias_Libelle_Fronton"": ""Paris Gare du Nord"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Paris Gare du Nord et CDG2"", ""UT_Libelle"": ""PARIS NORD GARE""}",75010,02561,48.880185,ETAB GARES PARIS,Paris,02561-3,True,False,b,UG Paris Gare du Nord et CDG2,REGION DE PARIS-NORD,2.355151,PARIS NORD GARE,4,Paris Gare du Nord RER,75,Point,"[2.355151, 48.880185]",2.0,
referentiel-gares-voyageurs,5ed2ae2d5771be70f5b6b6b6eb48a2cc2453900c,2023-04-06T22:00:17.211Z,"[48.880185, 2.355151]",,Paris Gare du Nord,Paris,,Paris Gare du Nord,056,0087271007,GARE PARIS NORD,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 4, ""Alias_Libelle_NonContraint"": ""Paris Gare du Nord"", ""Alias_Libelle_Fronton"": ""Paris Gare du Nord"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Paris Gare du Nord et CDG2"", ""UT_Libelle"": ""PARIS NORD GARE""}",75010,02561,48.880185,ETAB GARES PARIS,Paris,02561-4,True,False,a,UG Paris Gare du Nord et CDG2,REGION DE PARIS-NORD,2.355151,PARIS NORD GARE,4,Paris Gare du Nord transmanche,75,Point,"[2.355151, 48.880185]",,2019-09-19
referentiel-gares-voyageurs,3798eb2240795f41a4842d52ef96de306d13a32e,2023-04-06T22:00:17.211Z,"[48.83917, 2.38278]",PBY,Paris Bercy Bourgogne - Pays d'Auvergne,Paris,"[{""TVS_Code"": ""PBY""}]",Paris Bercy,056,0087686667,GARE PARIS GARE DE LYON,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Paris Bercy Bourgogne - Pays d'Auvergne"", ""Alias_Libelle_Fronton"": ""Paris Bercy"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-SUD-EST"", ""UG_Libelle"": ""UG Paris Lyon et Paris Bercy"", ""UT_Libelle"": ""PARIS LYON GARE""}",75012,03097,48.83917,ETAB GARES PARIS,Paris,03097-1,True,False,a,UG Paris Lyon et Paris Bercy,REGION DE PARIS-SUD-EST,2.38278,PARIS LYON GARE,1,Paris Bercy Bourgogne - Pays d'Auvergne,75,Point,"[2.38278, 48.83917]",3.0,
referentiel-gares-voyageurs,9fb49979eda1e8916d974ea05932f106fbec05b5,2023-04-06T22:00:17.211Z,"[48.844888, 2.37352]",PAA,Paris Gare de Lyon,Paris,"[{""TVS_Code"": ""PAA""}]",Paris Gare de Lyon,056,0087686030,GARE PARIS LYON SOUTERR,"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 2, ""Alias_Libelle_NonContraint"": ""Paris Gare de Lyon"", ""Alias_Libelle_Fronton"": ""Paris Gare de Lyon"", ""AgenceGC_Libelle"": ""ETAB GARES PARIS"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-SUD-EST"", ""UG_Libelle"": ""UG Paris Lyon et Paris Bercy"", ""UT_Libelle"": ""PARIS LYON GARE""}",75012,00753,48.844888,ETAB GARES PARIS,Paris,00753-2,True,False,b,UG Paris Lyon et Paris Bercy,REGION DE PARIS-SUD-EST,2.373520,PARIS LYON GARE,2,Paris Gare de Lyon RER,75,Point,"[2.37352, 48.844888]",2.0,
