datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,f92080b7b6e08afeab147dbfde10bd734ba7dfc1,2023-04-06T09:01:33.082Z,0087547000,2019-12-30T11:47:37+00:00,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-12-30T11:43:48+00:00
objets-trouves-restitution,a678095e3b2f81aabe6465a7840c539d452169c9,2023-04-06T09:01:33.082Z,0087547000,,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-12-27T15:48:37+00:00
objets-trouves-restitution,2c0d38dccf2750a1c998be13e3a1f664e3285fbc,2023-04-06T09:01:33.082Z,0087547000,2019-12-19T11:37:54+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-12-19T11:10:30+00:00
objets-trouves-restitution,73fad087e437455c336d73923a75d74f45134f93,2023-04-06T09:01:33.082Z,0087547000,2019-12-13T08:21:08+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-12-13T08:16:33+00:00
objets-trouves-restitution,0922d2f338ced66da085cfc2f2acd2de4b63c079,2023-04-06T09:01:33.082Z,0087547000,2019-12-10T08:11:49+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2019-12-09T11:23:27+00:00
objets-trouves-restitution,81cd0cf6d3e42facc4b178ddbfe76f8a001104cc,2023-04-06T09:01:33.082Z,0087547000,2019-12-04T14:10:38+00:00,Pièces d'identités et papiers personnels,Paris Austerlitz,Pièce d'identité personnelle et autre,Objet trouvé,2019-12-04T13:58:08+00:00
objets-trouves-restitution,c22c88c83ba989b48aaae0c87c7b5f09e4ca07fa,2023-04-06T09:01:33.082Z,0087547000,,"Vélos, trottinettes, accessoires 2 roues",Paris Austerlitz,Vélo,Objet trouvé,2019-12-03T16:13:30+00:00
objets-trouves-restitution,405a2d7ab72ac5aec8a1f5861214f5b8ee6b64ab,2023-04-06T09:01:33.082Z,0087547000,2019-12-04T11:41:56+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-12-03T13:16:57+00:00
objets-trouves-restitution,5842ac1596ed434e923630bf09c4a6dcdbbf2614,2023-04-06T09:01:33.082Z,0087547000,2019-12-13T17:36:17+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-12-03T09:29:57+00:00
objets-trouves-restitution,a22622e34c8f7b52072140135e346b8c623e5988,2023-04-06T09:01:33.082Z,0087547000,2019-12-03T09:20:06+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2019-12-03T09:11:46+00:00
objets-trouves-restitution,de51f05783399b9b66e2933202dc207e6fd83eb2,2023-04-06T09:01:33.082Z,0087547000,,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2019-12-02T15:29:15+00:00
