datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,03f501a03923785fc55ba5d4357de14b0b1652cb,2023-04-06T09:01:33.082Z,0087686667,2022-01-12T11:06:00+00:00,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2021-12-30T21:48:35+00:00
objets-trouves-restitution,5d1468d27f5b17760868d2ce077192d5ac319128,2023-04-06T09:01:33.082Z,0087686667,,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"AirPod, casque audio, écouteurs",Objet trouvé,2021-12-30T14:00:04+00:00
objets-trouves-restitution,b98bd440f08a75e15ccbdf004ba4244a269b937a,2023-04-06T09:01:33.082Z,0087686667,,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2021-12-30T07:21:41+00:00
objets-trouves-restitution,62d80b92bd0c64be4d142d45a75da0c39cb272ba,2023-04-06T09:01:33.082Z,0087686667,,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Appareil photo, caméscope/caméras et accessoires",Objet trouvé,2021-12-27T08:04:19+00:00
objets-trouves-restitution,c417623ab051d49dd1ca47aa0b394c1340e849b9,2023-04-06T09:01:33.082Z,0087686667,,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2021-12-26T17:09:42+00:00
objets-trouves-restitution,68a496bc617521180db7ca4bee8f15bb72d0decd,2023-04-06T09:01:33.082Z,0087686667,2021-12-28T16:40:46+00:00,"Bagagerie: sacs, valises, cartables",Paris Bercy,Sac à main,Objet trouvé,2021-12-26T06:53:25+00:00
objets-trouves-restitution,6dd91315a3ebc1a8627fc7f8223aed0a7fd009d6,2023-04-06T09:01:33.082Z,0087686667,,"Bagagerie: sacs, valises, cartables",Paris Bercy,Sac à dos,Objet trouvé,2021-12-22T20:57:18+00:00
objets-trouves-restitution,fe791e45cbae0ae830fb9ca729820bd928ee4c83,2023-04-06T09:01:33.082Z,0087686667,,"Vêtements, chaussures",Paris Bercy,Autres vêtements,Objet trouvé,2021-12-22T17:49:07+00:00
objets-trouves-restitution,3c6ede8833476ea7cae9b5db323806ecf3ebdcb7,2023-04-06T09:01:33.082Z,0087686667,,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Appareil photo, caméscope/caméras et accessoires protégé (sac, sacoche,…)",Objet trouvé,2021-12-22T17:39:22+00:00
objets-trouves-restitution,6aa5ec7da070bb0e8b6fdbb17af76e0f7ae838bd,2023-04-06T09:01:33.082Z,0087686667,,"Clés, porte-clés, badge magnétique",Paris Bercy,"Clés, porte-clés",Objet trouvé,2021-12-20T06:03:03+00:00
objets-trouves-restitution,4a7e9db8e41c03c8d10b0ccd35bd9e8369e636fa,2023-04-06T09:01:33.082Z,0087686667,2021-12-17T15:50:02+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2021-12-14T12:05:53+00:00
objets-trouves-restitution,f7f6bc20eed470502654349fafd0211c1a867397,2023-04-06T09:01:33.082Z,0087686667,2021-12-15T10:02:35+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2021-12-12T18:17:06+00:00
objets-trouves-restitution,94e3b7b4efc653143d23974d75b40bb101821334,2023-04-06T09:01:33.082Z,0087686667,,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2021-12-11T07:59:41+00:00
objets-trouves-restitution,102b17a54af8933e7344ef56c27a82d1ac72ff2e,2023-04-06T09:01:33.082Z,0087686667,,"Clés, porte-clés, badge magnétique",Paris Bercy,Clé de voiture,Objet trouvé,2021-12-11T05:44:27+00:00
objets-trouves-restitution,53eb2e8332cd4826740bd18aa13b3a4bcc847cce,2023-04-06T09:01:33.082Z,0087686667,2021-12-11T13:04:40+00:00,"Bagagerie: sacs, valises, cartables",Paris Bercy,Sac à dos,Objet trouvé,2021-12-10T21:20:53+00:00
