datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date,fields.gc_obo_date_heure_restitution_c
objets-trouves-restitution,82cc8909f78705267953eba0e121d697855ca859,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-31T08:37:35+00:00,
objets-trouves-restitution,2ed0f8dae9fae886b2fcbd129cf92c1cc61bcd9a,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sacoche ventrale, banane",Objet trouvé,2022-12-31T08:34:14+00:00,
objets-trouves-restitution,a8625319a4c00f4b83f4eccd971f91765dd0365b,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-31T08:32:19+00:00,
objets-trouves-restitution,0039abcf6990866eda8d6dec232b064bdad6081e,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T08:28:58+00:00,
objets-trouves-restitution,37f33f4fa4cd5e2cd2cbbb1e663d327a0e612a2b,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T08:26:27+00:00,
objets-trouves-restitution,c0d793c74e54be69de6d31b419e84e33805405eb,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T08:23:34+00:00,
objets-trouves-restitution,487c9aa671f4e422324ec7dfca76c36dff0db8b6,2023-04-06T09:01:33.082Z,0087547000,Divers,Paris Austerlitz,Autres divers,Objet trouvé,2022-12-31T07:30:26+00:00,
objets-trouves-restitution,3e6da1c42f6c622119652cc548228b61cc861119,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-31T07:25:19+00:00,2023-01-23T18:59:47+00:00
objets-trouves-restitution,585b307691eb22fee513e9f0429853a6c83324a6,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-12-31T07:18:32+00:00,2023-02-07T20:28:06+00:00
objets-trouves-restitution,aeed66ea0789681811b0a73c1c51e2887a206631,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-30T09:03:59+00:00,
objets-trouves-restitution,0a0898543950f7fc5e5837dd4fc8b061eef5780a,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-30T08:59:47+00:00,2023-02-07T20:27:54+00:00
objets-trouves-restitution,300ed90ab026b09b2cf66e6b81d20cc608304d64,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T08:55:47+00:00,
objets-trouves-restitution,560f8654b71645c33e8ac26647c244538832066a,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-30T08:46:30+00:00,
objets-trouves-restitution,f05355b2c7fbe8b75a62a69cb8edf2f2ccd842bd,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-30T08:41:43+00:00,
objets-trouves-restitution,f97f472938fdc156eb50d16b1b51db6765cd4a08,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-30T08:36:08+00:00,
objets-trouves-restitution,bb90b23812d5e91ffb67fdf5f6c171ccaeb0cf87,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-30T06:42:15+00:00,
objets-trouves-restitution,c7f3789f2aeab1524082e18285d56cae721e1ba9,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-12-30T06:39:49+00:00,
objets-trouves-restitution,eb06516cc5db60f2168c5397ab19533a71a9defc,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2022-12-23T15:00:06+00:00,2022-12-23T15:14:01+00:00
objets-trouves-restitution,f0d8a2e2c140823adb8690c93dbce8bb889986c2,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-12-23T14:43:06+00:00,2022-12-23T14:52:22+00:00
objets-trouves-restitution,83309f123c65efad4ce229ac1a053e76c00a4135,2023-04-06T09:01:33.082Z,0087547000,"Livres, articles de papéterie",Paris Austerlitz,Autre livre,Objet trouvé,2022-12-23T09:14:52+00:00,2023-01-24T18:21:02+00:00
objets-trouves-restitution,22fa567199586c750f421377773da8ce42f30d94,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2022-12-23T07:33:09+00:00,2022-12-27T17:22:45+00:00
objets-trouves-restitution,045d1e0be18210ce6892e331499e53162501de11,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-22T11:59:44+00:00,2022-12-27T14:24:36+00:00
objets-trouves-restitution,48036205a00a8dd1fbaee5007a284953c940a0df,2023-04-06T09:01:33.082Z,0087547000,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-22T10:03:01+00:00,2023-02-07T20:25:43+00:00
objets-trouves-restitution,c413d3ff853ff4d3cc181892cd76774536b34129,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-17T18:18:19+00:00,2023-02-07T18:32:41+00:00
objets-trouves-restitution,3ff51624713950aa50239a3113b8f72878c07e6d,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-12-13T17:00:17+00:00,
objets-trouves-restitution,dc931bc515d2107418a1d20250402555e4d1660c,2023-04-06T09:01:33.082Z,0087547000,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-10T21:04:29+00:00,2023-02-07T20:25:36+00:00
objets-trouves-restitution,7ae22a749261d8fbfd170f4040ba4d1a1b8b49e0,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2022-12-10T11:25:37+00:00,2022-12-10T14:24:34+00:00
